Ping size: 0
PING 88.80.187.84 (88.80.187.84) 0(28) bytes of data.
[1621803598.390930] 72 bytes from 88.80.187.84: icmp_seq=78 ttl=51 time=33.1 ms
[1621803599.391494] 72 bytes from 88.80.187.84: icmp_seq=79 ttl=51 time=32.4 ms
[1621803600.393183] 72 bytes from 88.80.187.84: icmp_seq=80 ttl=51 time=32.5 ms
[1621803601.395507] 72 bytes from 88.80.187.84: icmp_seq=81 ttl=51 time=33.1 ms
[1621803602.396534] 72 bytes from 88.80.187.84: icmp_seq=82 ttl=51 time=32.8 ms
[1621803603.397957] 72 bytes from 88.80.187.84: icmp_seq=83 ttl=51 time=32.2 ms
[1621803604.400006] 72 bytes from 88.80.187.84: icmp_seq=84 ttl=51 time=32.9 ms
[1621803605.400994] 72 bytes from 88.80.187.84: icmp_seq=85 ttl=51 time=32.8 ms
[1621803606.402712] 72 bytes from 88.80.187.84: icmp_seq=86 ttl=51 time=32.5 ms
[1621803607.404541] 72 bytes from 88.80.187.84: icmp_seq=87 ttl=51 time=32.6 ms
[1621803608.407092] 72 bytes from 88.80.187.84: icmp_seq=88 ttl=51 time=33.4 ms
[1621803609.407332] 72 bytes from 88.80.187.84: icmp_seq=89 ttl=51 time=32.0 ms
[1621803610.409398] 72 bytes from 88.80.187.84: icmp_seq=90 ttl=51 time=32.9 ms
[1621803611.410457] 72 bytes from 88.80.187.84: icmp_seq=91 ttl=51 time=32.8 ms
[1621803612.410868] 72 bytes from 88.80.187.84: icmp_seq=92 ttl=51 time=32.2 ms
[1621803613.413749] 72 bytes from 88.80.187.84: icmp_seq=93 ttl=51 time=33.7 ms
[1621803614.414381] 72 bytes from 88.80.187.84: icmp_seq=94 ttl=51 time=32.4 ms
